"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16787","test_mouse_hover_and_drag_drop","tests","Wed Oct 22 12:12:31 IST 2025","passed","Wed Oct 22 12:12:47 IST 2025","","test_interactions","",""
"","9852","test_alerts_with_all_locators","","Sat Oct 18 13:10:32 IST 2025","passed","Sat Oct 18 13:10:42 IST 2025","","","",""
"
Data-Driven Login Test using Excel
Covers:
- Valid logins (standard_user, problem_user, etc.)
- Invalid logins (locked_out_user, empty fields, wrong creds)
","4203","test_login_data_driven[TC003]","tests","Wed Oct 22 11:58:26 IST 2025","passed","Wed Oct 22 11:58:31 IST 2025","","test_login_data_driven","",""
"
Data-Driven Login Test using Excel
Covers:
- Valid logins (standard_user, problem_user, etc.)
- Invalid logins (locked_out_user, empty fields, wrong creds)
","4261","test_login_data_driven[TC001]","tests","Wed Oct 22 11:58:10 IST 2025","passed","Wed Oct 22 11:58:14 IST 2025","","test_login_data_driven","",""
"Data-driven login test using CSV","2521","test_login_data_driven_csv[TC005]","tests","Wed Oct 22 11:59:56 IST 2025","passed","Wed Oct 22 11:59:58 IST 2025","","test_login_data_driven_csv","",""
"","124406","test_file_upload_sendkeys","","Sat Oct 18 16:28:41 IST 2025","broken","Sat Oct 18 16:30:46 IST 2025","","","",""
"","18009","test_scroll_screenshot_hover","tests","Wed Oct 22 12:00:02 IST 2025","passed","Wed Oct 22 12:00:20 IST 2025","","test_scroll_screenshot_hover","",""
"","30427","test_drag_drop","tests","Wed Oct 22 12:13:02 IST 2025","passed","Wed Oct 22 12:13:32 IST 2025","","test_interactions","",""
"","14140","test_checkboxes","tests","Wed Oct 22 12:11:26 IST 2025","passed","Wed Oct 22 12:11:40 IST 2025","","test_form_elements","",""
"Data-driven login test using CSV","3072","test_login_data_driven_csv[TC003]","tests","Wed Oct 22 11:59:42 IST 2025","passed","Wed Oct 22 11:59:45 IST 2025","","test_login_data_driven_csv","",""
"","123763","test_scroll_screenshot_hover","","Sat Oct 18 12:53:51 IST 2025","broken","Sat Oct 18 12:55:54 IST 2025","","","",""
"","119569","test_broken_links","tests","Wed Oct 22 12:08:02 IST 2025","broken","Wed Oct 22 12:10:01 IST 2025","","test_broken_links","",""
"","24341","test_complete_ecommerce_flow","tests","Wed Oct 22 12:10:10 IST 2025","passed","Wed Oct 22 12:10:35 IST 2025","","test_core_features","",""
"
Data-Driven Login Test using Excel
Covers:
- Valid logins (standard_user, problem_user, etc.)
- Invalid logins (locked_out_user, empty fields, wrong creds)
","3729","test_login_data_driven[TC005]","tests","Wed Oct 22 11:58:53 IST 2025","passed","Wed Oct 22 11:58:57 IST 2025","","test_login_data_driven","",""
"","6225","test_right_click","tests","Wed Oct 22 11:57:48 IST 2025","passed","Wed Oct 22 11:57:54 IST 2025","","test_interactions","",""
"","8802","test_file_upload_sendkeys","tests","Wed Oct 22 12:10:45 IST 2025","broken","Wed Oct 22 12:10:53 IST 2025","","test_file_upload","",""
"Data-driven login test using CSV","2605","test_login_data_driven_csv[TC004]","tests","Wed Oct 22 11:59:49 IST 2025","passed","Wed Oct 22 11:59:52 IST 2025","","test_login_data_driven_csv","",""
"Data-driven login test using CSV","3496","test_login_data_driven_csv[TC001]","tests","Wed Oct 22 11:59:25 IST 2025","passed","Wed Oct 22 11:59:28 IST 2025","","test_login_data_driven_csv","",""
"","121048","test_file_upload_sendkeys","","Sun Oct 19 11:21:11 IST 2025","broken","Sun Oct 19 11:23:12 IST 2025","","","",""
"
Data-Driven Login Test using Excel
Covers:
- Valid logins (standard_user, problem_user, etc.)
- Invalid logins (locked_out_user, empty fields, wrong creds)
","4422","test_login_data_driven[TC007]","tests","Wed Oct 22 11:59:15 IST 2025","passed","Wed Oct 22 11:59:19 IST 2025","","test_login_data_driven","",""
"Data-driven login test using CSV","3095","test_login_data_driven_csv[TC002]","tests","Wed Oct 22 11:59:34 IST 2025","passed","Wed Oct 22 11:59:37 IST 2025","","test_login_data_driven_csv","",""
